,Team Number,Team Name,Date,Win Streak,Numeric Win Streak
0,0, Abilene_Chr,20180216,+,1
1,0, Abilene_Chr,20180217,++,2
2,0, Abilene_Chr,20180218,+++,3
3,0, Abilene_Chr,20180224,++++,4
4,0, Abilene_Chr,20180224,-,-1
5,0, Abilene_Chr,20180225,+,1
6,0, Abilene_Chr,20180302,++,2
7,0, Abilene_Chr,20180303,+++,3
8,0, Abilene_Chr,20180303,++++,4
9,0, Abilene_Chr,20180309,-,-1
10,0, Abilene_Chr,20180310,--,-2
11,0, Abilene_Chr,20180311,---,-3
12,0, Abilene_Chr,20180316,+,1
13,0, Abilene_Chr,20180317,++,2
14,0, Abilene_Chr,20180318,-,-1
15,0, Abilene_Chr,20180320,--,-2
16,0, Abilene_Chr,20180323,---,-3
17,0, Abilene_Chr,20180324,----,-4
18,0, Abilene_Chr,20180325,-----,-5
19,0, Abilene_Chr,20180329,------,-6
20,0, Abilene_Chr,20180330,-------,-7
21,0, Abilene_Chr,20180331,--------,-8
22,0, Abilene_Chr,20180403,---------,-9
23,0, Abilene_Chr,20180404,+,1
24,0, Abilene_Chr,20180406,-,-1
25,0, Abilene_Chr,20180407,+,1
26,0, Abilene_Chr,20180408,-,-1
27,0, Abilene_Chr,20180413,--,-2
28,0, Abilene_Chr,20180414,---,-3
29,0, Abilene_Chr,20180415,+,1
30,0, Abilene_Chr,20180417,++,2
31,0, Abilene_Chr,20180420,-,-1
32,0, Abilene_Chr,20180421,--,-2
33,0, Abilene_Chr,20180422,+,1
34,0, Abilene_Chr,20180424,-,-1
35,0, Abilene_Chr,20180428,--,-2
36,0, Abilene_Chr,20180428,---,-3
37,0, Abilene_Chr,20180501,----,-4
38,0, Abilene_Chr,20180504,-----,-5
39,0, Abilene_Chr,20180505,------,-6
40,0, Abilene_Chr,20180506,-------,-7
41,0, Abilene_Chr,20180508,+,1
42,0, Abilene_Chr,20180509,++,2
43,0, Abilene_Chr,20180511,-,-1
44,0, Abilene_Chr,20180512,--,-2
45,0, Abilene_Chr,20180513,---,-3
46,0, Abilene_Chr,20180515,----,-4
47,0, Abilene_Chr,20180517,-----,-5
48,0, Abilene_Chr,20180518,------,-6
49,0, Abilene_Chr,20180519,-------,-7
50,1, Air_Force,20180216,-,-1
51,1, Air_Force,20180217,--,-2
52,1, Air_Force,20180218,---,-3
53,1, Air_Force,20180223,----,-4
54,1, Air_Force,20180224,-----,-5
55,1, Air_Force,20180225,+,1
56,1, Air_Force,20180226,-,-1
57,1, Air_Force,20180302,--,-2
58,1, Air_Force,20180303,---,-3
59,1, Air_Force,20180304,+,1
60,1, Air_Force,20180306,++,2
61,1, Air_Force,20180307,+++,3
62,1, Air_Force,20180309,-,-1
63,1, Air_Force,20180311,--,-2
64,1, Air_Force,20180311,+,1
65,1, Air_Force,20180316,-,-1
66,1, Air_Force,20180317,--,-2
67,1, Air_Force,20180318,+,1
68,1, Air_Force,20180320,++,2
69,1, Air_Force,20180323,+++,3
70,1, Air_Force,20180324,-,-1
71,1, Air_Force,20180325,--,-2
72,1, Air_Force,20180329,+,1
73,1, Air_Force,20180330,-,-1
74,1, Air_Force,20180331,+,1
75,1, Air_Force,20180402,++,2
76,1, Air_Force,20180403,-,-1
77,1, Air_Force,20180407,+,1
78,1, Air_Force,20180407,++,2
79,1, Air_Force,20180408,-,-1
80,1, Air_Force,20180410,--,-2
81,1, Air_Force,20180410,---,-3
82,1, Air_Force,20180413,----,-4
83,1, Air_Force,20180414,+,1
84,1, Air_Force,20180415,-,-1
85,1, Air_Force,20180417,+,1
86,1, Air_Force,20180422,++,2
87,1, Air_Force,20180422,+++,3
88,1, Air_Force,20180427,-,-1
89,1, Air_Force,20180428,+,1
90,1, Air_Force,20180429,-,-1
91,1, Air_Force,20180504,+,1
92,1, Air_Force,20180505,++,2
93,1, Air_Force,20180506,+++,3
94,1, Air_Force,20180511,-,-1
95,1, Air_Force,20180512,--,-2
96,1, Air_Force,20180513,+,1
97,1, Air_Force,20180515,-,-1
98,1, Air_Force,20180517,--,-2
99,1, Air_Force,20180518,---,-3
100,1, Air_Force,20180519,----,-4
101,2, Alabama,20180216,+,1
102,2, Alabama,20180217,++,2
103,2, Alabama,20180218,+++,3
104,2, Alabama,20180220,++++,4
105,2, Alabama,20180223,+++++,5
106,2, Alabama,20180223,++++++,6
107,2, Alabama,20180224,+++++++,7
108,2, Alabama,20180227,++++++++,8
109,2, Alabama,20180228,+++++++++,9
110,2, Alabama,20180302,-,-1
111,2, Alabama,20180303,--,-2
112,2, Alabama,20180304,+,1
113,2, Alabama,20180307,++,2
114,2, Alabama,20180309,+++,3
115,2, Alabama,20180309,-,-1
116,2, Alabama,20180310,+,1
117,2, Alabama,20180313,++,2
118,2, Alabama,20180314,+++,3
119,2, Alabama,20180316,++++,4
120,2, Alabama,20180317,-,-1
121,2, Alabama,20180318,--,-2
